accuracy,correct,family,malware_support,method,recall,support
0.6,12,backdoor,20,full,0.6,20
0.8,16,backdoor,20,svm,0.8,20
0.9082321187584346,673,benign,0,full,,741
0.9433198380566802,699,benign,0,svm,,741
0.2916666666666667,7,coinminer,24,full,0.2916666666666667,24
0.7083333333333334,17,coinminer,24,svm,0.7083333333333334,24
0.5714285714285714,16,dropper,28,full,0.5714285714285714,28
0.6785714285714286,19,dropper,28,svm,0.6785714285714286,28
0.5333333333333333,8,keylogger,15,full,0.5333333333333333,15
0.6,9,keylogger,15,svm,0.6,15
0.896551724137931,104,ransomware,116,full,0.896551724137931,116
0.9396551724137931,109,ransomware,116,svm,0.9396551724137931,116
0.5,6,rat,12,full,0.5,12
0.4166666666666667,5,rat,12,svm,0.4166666666666667,12
0.8205128205128205,32,trojan,39,full,0.8205128205128205,39
0.8205128205128205,32,trojan,39,svm,0.8205128205128205,39
